Unnamed: 0,poi_name,poi_type,poi_lat,poi_lng,poi_rating,grid,Venue Category
2,Aparthotel Adagio access La Défense Place Charras,"['lodging', 'point_of_interest', 'establishment']",48.8948587,2.2489426,3.2,"16,10",Education
6,Aparthotel Adagio access La Défense Léonard de Vinci,"['lodging', 'point_of_interest', 'establishment']",48.8968939,2.2346742,3.4,"6,12",Education
7,Fraser Suites Harmonie Paris La Défense,"['lodging', 'point_of_interest', 'establishment']",48.8883132,2.2522704,4.2,"18,3",Education
8,Hilton Paris La Defense,"['lodging', 'point_of_interest', 'establishment']",48.8928913,2.2383783,4.2,"9,8",Education
9,MGallery Nest Paris La Defense,"['lodging', 'point_of_interest', 'establishment']",48.88839,2.247282,4.3,"15,3",Education
10,Pullman Paris La Défense,"['lodging', 'point_of_interest', 'establishment']",48.8950957,2.2390057,4.4,"9,10",Education
12,Renaissance Paris La Defense Hotel,"['lodging', 'point_of_interest', 'establishment']",48.8926544,2.2330651,4.2,"5,8",Education
14,Hôtel Mercure Paris La Défense,"['lodging', 'point_of_interest', 'establishment']",48.8956542,2.251286,3.9,"18,11",Education
15,Citadines La Défense Paris (Apart hotel Paris),"['real_estate_agency', 'lodging', 'point_of_interest', 'establishment']",48.8886066,2.2522933,3.8,"19,3",Education
16,Novotel Paris La Défense,"['lodging', 'point_of_interest', 'establishment']",48.8880473,2.2528727,3.9,"19,2",Education
18,Hôtel la Régence,"['lodging', 'point_of_interest', 'establishment']",48.894249,2.248085,4,"16,9",Education
20,Aparthotel Adagio La Défense Esplanade,"['lodging', 'point_of_interest', 'establishment']",48.888127,2.247936,3.7,"15,2",Education
22,ibis Paris La Défense Centre,"['lodging', 'point_of_interest', 'establishment']",48.8880121,2.2525688,3.6,"19,2",Education
24,Grande Arche de la Defense,"['tourist_attraction', 'point_of_interest', 'establishment']",48.8925978,2.2361121,4.4,"7,7",Education
25,Star Of Life,"['lodging', 'point_of_interest', 'establishment']",48.8943251,2.2486904,4.4,"16,9",Education
26,CNIT,"['shopping_mall', 'point_of_interest', 'establishment']",48.8927042,2.2394592,4.2,"9,8",Education
27,Conseil départemental des Hauts-de-Seine 92,"['local_government_office', 'point_of_interest', 'establishment']",48.8961241,2.2311766,4.1,"3,11",Education
28,Thales Group,"['point_of_interest', 'establishment']",48.8915013,2.2457149,4,"14,6",Education
29,Société Générale,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8893797,2.2435553,3.1,"12,4",Education
30,Aparthotel Adagio La Défense Kléber,"['lodging', 'point_of_interest', 'establishment']",48.8944491,2.2486943,3.6,"16,10",Education
31,MONOPRIX CNIT,"['supermarket', 'department_store', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",48.8926126,2.2396137,3.8,"9,7",Education
33,SAINT-GOBAIN VITRAGE BÂTIMENT,"['point_of_interest', 'establishment']",48.8895059,2.2491586,4.1,"16,4",Education
34,Apple Les Quatre Temps,"['electronics_store', 'point_of_interest', 'store', 'establishment']",48.890078,2.2371343,3.6,"8,5",Education
35,Le Paradis du Fruit,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.890733,2.2365781,3.6,"7,5",Education
36,Decathlon,"['bicycle_store', 'point_of_interest', 'clothing_store', 'store', 'establishment']",48.8926126,2.2396137,4.1,"9,7",Education
37,Swatch La Défense Paris C/Cial Les 4 Temps,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8907162,2.2379876,3.7,"8,5",Education
38,COPY-TOP La Défense / Imprimerie Paris La Défense,"['point_of_interest', 'store', 'establishment']",48.8911197,2.2425693,3.8,"12,6",Education
39,Bostik Sa,"['point_of_interest', 'establishment']",48.8930998,2.2437954,5,"12,8",Education
42,Société Générale,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8970788,2.2375026,3.5,"8,12",Education
43,BODY'minute,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']",48.8906037,2.2373793,3,"8,5",Education
44,Groupe Flo,"['bar', 'point_of_interest', 'establishment']",48.8898742,2.248481,3.6,"16,4",Education
46,Guérin Joaillerie,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8904402,2.2384059,3.2,"9,5",Education
47,Cargill France SAS,"['food', 'point_of_interest', 'establishment']",48.8890961,2.2389978,3.3,"9,4",Education
48,AGATHA,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8901019,2.2373325,4.1,"8,5",Education
49,Jaroen Thai Spa,"['spa', 'point_of_interest', 'establishment']",48.8967883,2.2484694,4,"16,12",Education
50,PicWicToys,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8904131,2.2374167,4.1,"8,5",Education
51,Cromology,"['point_of_interest', 'establishment']",48.8874581,2.2467903,3.6,"15,2",Education
52,Etam,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8907954,2.237153,4.1,"8,5",Education
53,Aparthotel Adagio La Défense Courbevoie,"['lodging', 'point_of_interest', 'establishment']",48.8934422,2.25324,4.2,"19,8",Education
54,Bowling Courbevoie,"['bowling_alley', 'point_of_interest', 'establishment']",48.894519,2.2532288,3.8,"19,10",Education
55,Ecole Conte,"['university', 'point_of_interest', 'establishment']",48.8925491,2.2360895,4.2,"7,7",Education
56,Syndicat des Ingrédients Cosmétiques et Tensio-Actifs,"['point_of_interest', 'establishment']",48.8865111,2.2440317,none,"13,1",Education
57,LCL Banque et assurance,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8967944,2.2377,3.6,"8,12",Education
58,Racing Club de France Rugby,"['point_of_interest', 'establishment']",48.8956802,2.2296866,3.9,"2,11",Education
59,EDF,"['point_of_interest', 'establishment']",48.8900217,2.2415634,3.7,"11,5",Education
62,Société Générale,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8970788,2.2375026,3.5,"8,12",Education
63,BODY'minute,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']",48.8906037,2.2373793,3,"8,5",Education
64,Groupe Flo,"['bar', 'point_of_interest', 'establishment']",48.8898742,2.248481,3.6,"16,4",Education
66,Guérin Joaillerie,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8904402,2.2384059,3.2,"9,5",Education
67,Cargill France SAS,"['food', 'point_of_interest', 'establishment']",48.8890961,2.2389978,3.3,"9,4",Education
68,AGATHA,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8901019,2.2373325,4.1,"8,5",Education
69,Jaroen Thai Spa,"['spa', 'point_of_interest', 'establishment']",48.8967883,2.2484694,4,"16,12",Education
70,PicWicToys,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8904131,2.2374167,4.1,"8,5",Education
71,Cromology,"['point_of_interest', 'establishment']",48.8874581,2.2467903,3.6,"15,2",Education
72,Etam,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8907954,2.237153,4.1,"8,5",Education
73,Aparthotel Adagio La Défense Courbevoie,"['lodging', 'point_of_interest', 'establishment']",48.8934422,2.25324,4.2,"19,8",Education
74,Bowling Courbevoie,"['bowling_alley', 'point_of_interest', 'establishment']",48.894519,2.2532288,3.8,"19,10",Education
75,Ecole Conte,"['university', 'point_of_interest', 'establishment']",48.8925491,2.2360895,4.2,"7,7",Education
76,Syndicat des Ingrédients Cosmétiques et Tensio-Actifs,"['point_of_interest', 'establishment']",48.8865111,2.2440317,none,"13,1",Education
77,LCL Banque et assurance,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8967944,2.2377,3.6,"8,12",Education
78,Racing Club de France Rugby,"['point_of_interest', 'establishment']",48.8956802,2.2296866,3.9,"2,11",Education
79,EDF,"['point_of_interest', 'establishment']",48.8900217,2.2415634,3.7,"11,5",Education
82,Société Générale,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8970788,2.2375026,3.5,"8,12",Education
83,BODY'minute,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']",48.8906037,2.2373793,3,"8,5",Education
84,Groupe Flo,"['bar', 'point_of_interest', 'establishment']",48.8898742,2.248481,3.6,"16,4",Education
86,Guérin Joaillerie,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8904402,2.2384059,3.2,"9,5",Education
87,Cargill France SAS,"['food', 'point_of_interest', 'establishment']",48.8890961,2.2389978,3.3,"9,4",Education
88,AGATHA,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8901019,2.2373325,4.1,"8,5",Education
89,Jaroen Thai Spa,"['spa', 'point_of_interest', 'establishment']",48.8967883,2.2484694,4,"16,12",Education
90,PicWicToys,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8904131,2.2374167,4.1,"8,5",Education
91,Cromology,"['point_of_interest', 'establishment']",48.8874581,2.2467903,3.6,"15,2",Education
92,Etam,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8907954,2.237153,4.1,"8,5",Education
93,Aparthotel Adagio La Défense Courbevoie,"['lodging', 'point_of_interest', 'establishment']",48.8934422,2.25324,4.2,"19,8",Education
94,Bowling Courbevoie,"['bowling_alley', 'point_of_interest', 'establishment']",48.894519,2.2532288,3.8,"19,10",Education
95,Ecole Conte,"['university', 'point_of_interest', 'establishment']",48.8925491,2.2360895,4.2,"7,7",Education
96,Syndicat des Ingrédients Cosmétiques et Tensio-Actifs,"['point_of_interest', 'establishment']",48.8865111,2.2440317,none,"13,1",Education
97,LCL Banque et assurance,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8967944,2.2377,3.6,"8,12",Education
98,Racing Club de France Rugby,"['point_of_interest', 'establishment']",48.8956802,2.2296866,3.9,"2,11",Education
99,EDF,"['point_of_interest', 'establishment']",48.8900217,2.2415634,3.7,"11,5",Education
102,Société Générale,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8970788,2.2375026,3.5,"8,12",Education
103,BODY'minute,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']",48.8906037,2.2373793,3,"8,5",Education
104,Groupe Flo,"['bar', 'point_of_interest', 'establishment']",48.8898742,2.248481,3.6,"16,4",Education
106,Guérin Joaillerie,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8904402,2.2384059,3.2,"9,5",Education
107,Cargill France SAS,"['food', 'point_of_interest', 'establishment']",48.8890961,2.2389978,3.3,"9,4",Education
108,AGATHA,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8901019,2.2373325,4.1,"8,5",Education
109,Jaroen Thai Spa,"['spa', 'point_of_interest', 'establishment']",48.8967883,2.2484694,4,"16,12",Education
110,PicWicToys,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8904131,2.2374167,4.1,"8,5",Education
111,Cromology,"['point_of_interest', 'establishment']",48.8874581,2.2467903,3.6,"15,2",Education
112,Etam,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8907954,2.237153,4.1,"8,5",Education
113,Aparthotel Adagio La Défense Courbevoie,"['lodging', 'point_of_interest', 'establishment']",48.8934422,2.25324,4.2,"19,8",Education
114,Bowling Courbevoie,"['bowling_alley', 'point_of_interest', 'establishment']",48.894519,2.2532288,3.8,"19,10",Education
115,Ecole Conte,"['university', 'point_of_interest', 'establishment']",48.8925491,2.2360895,4.2,"7,7",Education
116,Syndicat des Ingrédients Cosmétiques et Tensio-Actifs,"['point_of_interest', 'establishment']",48.8865111,2.2440317,none,"13,1",Education
117,LCL Banque et assurance,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8967944,2.2377,3.6,"8,12",Education
118,Racing Club de France Rugby,"['point_of_interest', 'establishment']",48.8956802,2.2296866,3.9,"2,11",Education
119,EDF,"['point_of_interest', 'establishment']",48.8900217,2.2415634,3.7,"11,5",Education
122,Société Générale,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8970788,2.2375026,3.5,"8,12",Education
123,BODY'minute,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']",48.8906037,2.2373793,3,"8,5",Education
124,Groupe Flo,"['bar', 'point_of_interest', 'establishment']",48.8898742,2.248481,3.6,"16,4",Education
126,Guérin Joaillerie,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8904402,2.2384059,3.2,"9,5",Education
127,Cargill France SAS,"['food', 'point_of_interest', 'establishment']",48.8890961,2.2389978,3.3,"9,4",Education
128,AGATHA,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8901019,2.2373325,4.1,"8,5",Education
129,Jaroen Thai Spa,"['spa', 'point_of_interest', 'establishment']",48.8967883,2.2484694,4,"16,12",Education
130,PicWicToys,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8904131,2.2374167,4.1,"8,5",Education
131,Cromology,"['point_of_interest', 'establishment']",48.8874581,2.2467903,3.6,"15,2",Education
132,Etam,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8907954,2.237153,4.1,"8,5",Education
133,Aparthotel Adagio La Défense Courbevoie,"['lodging', 'point_of_interest', 'establishment']",48.8934422,2.25324,4.2,"19,8",Education
134,Bowling Courbevoie,"['bowling_alley', 'point_of_interest', 'establishment']",48.894519,2.2532288,3.8,"19,10",Education
135,Ecole Conte,"['university', 'point_of_interest', 'establishment']",48.8925491,2.2360895,4.2,"7,7",Education
136,Syndicat des Ingrédients Cosmétiques et Tensio-Actifs,"['point_of_interest', 'establishment']",48.8865111,2.2440317,none,"13,1",Education
137,LCL Banque et assurance,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8967944,2.2377,3.6,"8,12",Education
138,Racing Club de France Rugby,"['point_of_interest', 'establishment']",48.8956802,2.2296866,3.9,"2,11",Education
139,EDF,"['point_of_interest', 'establishment']",48.8900217,2.2415634,3.7,"11,5",Education
142,Société Générale,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8970788,2.2375026,3.5,"8,12",Education
143,BODY'minute,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']",48.8906037,2.2373793,3,"8,5",Education
144,Groupe Flo,"['bar', 'point_of_interest', 'establishment']",48.8898742,2.248481,3.6,"16,4",Education
146,Guérin Joaillerie,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8904402,2.2384059,3.2,"9,5",Education
147,Cargill France SAS,"['food', 'point_of_interest', 'establishment']",48.8890961,2.2389978,3.3,"9,4",Education
148,AGATHA,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8901019,2.2373325,4.1,"8,5",Education
149,Jaroen Thai Spa,"['spa', 'point_of_interest', 'establishment']",48.8967883,2.2484694,4,"16,12",Education
150,PicWicToys,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8904131,2.2374167,4.1,"8,5",Education
151,Cromology,"['point_of_interest', 'establishment']",48.8874581,2.2467903,3.6,"15,2",Education
152,Etam,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8907954,2.237153,4.1,"8,5",Education
153,Aparthotel Adagio La Défense Courbevoie,"['lodging', 'point_of_interest', 'establishment']",48.8934422,2.25324,4.2,"19,8",Education
154,Bowling Courbevoie,"['bowling_alley', 'point_of_interest', 'establishment']",48.894519,2.2532288,3.8,"19,10",Education
155,Ecole Conte,"['university', 'point_of_interest', 'establishment']",48.8925491,2.2360895,4.2,"7,7",Education
156,Syndicat des Ingrédients Cosmétiques et Tensio-Actifs,"['point_of_interest', 'establishment']",48.8865111,2.2440317,none,"13,1",Education
157,LCL Banque et assurance,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8967944,2.2377,3.6,"8,12",Education
158,Racing Club de France Rugby,"['point_of_interest', 'establishment']",48.8956802,2.2296866,3.9,"2,11",Education
159,EDF,"['point_of_interest', 'establishment']",48.8900217,2.2415634,3.7,"11,5",Education
162,Société Générale,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8970788,2.2375026,3.5,"8,12",Education
163,BODY'minute,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']",48.8906037,2.2373793,3,"8,5",Education
164,Groupe Flo,"['bar', 'point_of_interest', 'establishment']",48.8898742,2.248481,3.6,"16,4",Education
166,Guérin Joaillerie,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8904402,2.2384059,3.2,"9,5",Education
167,Cargill France SAS,"['food', 'point_of_interest', 'establishment']",48.8890961,2.2389978,3.3,"9,4",Education
168,AGATHA,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8901019,2.2373325,4.1,"8,5",Education
169,Jaroen Thai Spa,"['spa', 'point_of_interest', 'establishment']",48.8967883,2.2484694,4,"16,12",Education
170,PicWicToys,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8904131,2.2374167,4.1,"8,5",Education
171,Cromology,"['point_of_interest', 'establishment']",48.8874581,2.2467903,3.6,"15,2",Education
172,Etam,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8907954,2.237153,4.1,"8,5",Education
173,Aparthotel Adagio La Défense Courbevoie,"['lodging', 'point_of_interest', 'establishment']",48.8934422,2.25324,4.2,"19,8",Education
174,Bowling Courbevoie,"['bowling_alley', 'point_of_interest', 'establishment']",48.894519,2.2532288,3.8,"19,10",Education
175,Ecole Conte,"['university', 'point_of_interest', 'establishment']",48.8925491,2.2360895,4.2,"7,7",Education
176,Syndicat des Ingrédients Cosmétiques et Tensio-Actifs,"['point_of_interest', 'establishment']",48.8865111,2.2440317,none,"13,1",Education
177,LCL Banque et assurance,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8967944,2.2377,3.6,"8,12",Education
178,Racing Club de France Rugby,"['point_of_interest', 'establishment']",48.8956802,2.2296866,3.9,"2,11",Education
179,EDF,"['point_of_interest', 'establishment']",48.8900217,2.2415634,3.7,"11,5",Education
182,Société Générale,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8970788,2.2375026,3.5,"8,12",Education
183,BODY'minute,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']",48.8906037,2.2373793,3,"8,5",Education
184,Groupe Flo,"['bar', 'point_of_interest', 'establishment']",48.8898742,2.248481,3.6,"16,4",Education
186,Guérin Joaillerie,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8904402,2.2384059,3.2,"9,5",Education
187,Cargill France SAS,"['food', 'point_of_interest', 'establishment']",48.8890961,2.2389978,3.3,"9,4",Education
188,AGATHA,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8901019,2.2373325,4.1,"8,5",Education
189,Jaroen Thai Spa,"['spa', 'point_of_interest', 'establishment']",48.8967883,2.2484694,4,"16,12",Education
190,PicWicToys,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8904131,2.2374167,4.1,"8,5",Education
191,Cromology,"['point_of_interest', 'establishment']",48.8874581,2.2467903,3.6,"15,2",Education
192,Etam,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8907954,2.237153,4.1,"8,5",Education
193,Aparthotel Adagio La Défense Courbevoie,"['lodging', 'point_of_interest', 'establishment']",48.8934422,2.25324,4.2,"19,8",Education
194,Bowling Courbevoie,"['bowling_alley', 'point_of_interest', 'establishment']",48.894519,2.2532288,3.8,"19,10",Education
195,Ecole Conte,"['university', 'point_of_interest', 'establishment']",48.8925491,2.2360895,4.2,"7,7",Education
196,Syndicat des Ingrédients Cosmétiques et Tensio-Actifs,"['point_of_interest', 'establishment']",48.8865111,2.2440317,none,"13,1",Education
197,LCL Banque et assurance,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8967944,2.2377,3.6,"8,12",Education
198,Racing Club de France Rugby,"['point_of_interest', 'establishment']",48.8956802,2.2296866,3.9,"2,11",Education
199,EDF,"['point_of_interest', 'establishment']",48.8900217,2.2415634,3.7,"11,5",Education
202,Société Générale,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8970788,2.2375026,3.5,"8,12",Education
203,BODY'minute,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']",48.8906037,2.2373793,3,"8,5",Education
204,Groupe Flo,"['bar', 'point_of_interest', 'establishment']",48.8898742,2.248481,3.6,"16,4",Education
206,Guérin Joaillerie,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8904402,2.2384059,3.2,"9,5",Education
207,Cargill France SAS,"['food', 'point_of_interest', 'establishment']",48.8890961,2.2389978,3.3,"9,4",Education
208,AGATHA,"['jewelry_store', 'point_of_interest', 'store', 'establishment']",48.8901019,2.2373325,4.1,"8,5",Education
209,Jaroen Thai Spa,"['spa', 'point_of_interest', 'establishment']",48.8967883,2.2484694,4,"16,12",Education
210,PicWicToys,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8904131,2.2374167,4.1,"8,5",Education
211,Cromology,"['point_of_interest', 'establishment']",48.8874581,2.2467903,3.6,"15,2",Education
212,Etam,"['point_of_interest', 'clothing_store', 'store', 'establishment']",48.8907954,2.237153,4.1,"8,5",Education
213,Aparthotel Adagio La Défense Courbevoie,"['lodging', 'point_of_interest', 'establishment']",48.8934422,2.25324,4.2,"19,8",Education
214,Bowling Courbevoie,"['bowling_alley', 'point_of_interest', 'establishment']",48.894519,2.2532288,3.8,"19,10",Education
215,Ecole Conte,"['university', 'point_of_interest', 'establishment']",48.8925491,2.2360895,4.2,"7,7",Education
