,id,datetime,year,month,day_of_month,day_of_week,hour,minute,second,text,user_id,name,screen_name,follower_count,status_count,lang,lat,lng
4,1.49E+18,2022/1/26 15:07,2022,1,26,2,15,7,15,Vient de publier une photo à 75018 https://t.co/UD2ZeUSR78,9.85E+17,@OprixFixe,OprixFixe,44,364,,48.892605,2.348267
2,1.49E+18,2022/1/26 14:58,2022,1,26,2,14,58,13,"Pendant deux semaines, redécouvrez la valeur des choses. Opération magasin 100% gratuit ! @ 59 Rivoli https://t.co/jUg5aLOJHO",2416030351,REFER,REEMPLOI_IDF,1371,1057,,48.85923,2.34566
0,1.49E+18,2022/1/26 14:49,2022,1,26,2,14,49,36,Vient de publier une photo à La Poste Louvre https://t.co/kn1pWBtVEW,1121724205,veyet Laurent,Laurent75002,62,1199,,48.86484,2.343
93,1.49E+18,2022/1/27 14:13,2022,1,27,3,14,13,12,Just posted a photo @ Montmartre https://t.co/Yl3mScRlbm,1.43E+18,Subhi Nure,SubhiNure,0,137,,48.88685,2.341882
102,1.49E+18,2022/1/27 16:07,2022,1,27,3,16,7,1,"@diamondplatnumz 馃 SIMBA ALIYEBAKIA ...鉂わ笍馃�?

#wilonderby #wilonderbyhimself馃實 #DiamondPlatnumz @ Diamond-platnumz fan�?https://t.co/aXxjNqs1MX",1.19E+18,WILLY PLATNUMZ 馃馃拵馃憫鈽嗏槅鈽?WilonDerby,53,866,,,48.85718,2.34141
70,1.49E+18,2022/1/27 12:34,2022,1,27,3,12,34,47,Vient de publier une photo �?Caves Legrand https://t.co/T0r2z7m0Cv,2807795802,Emmanuelle Vigne,VigneEmmanuelle,693,1559,,48.86626,2.33993
9,1.49E+18,2022/1/26 16:46,2022,1,26,2,16,46,14,"@dussica.paris Montmartre
#LameDeStyleTiffany #Lampe #StyleTiffany 
#TiffanyStyle #Lamp #Suspension 
#ArtDeco�?https://t.co/VTLEXYFtyb",7.57E+17,Dussica Paris,Dussica_Paris,8,81,,48.88471,2.33972
115,1.49E+18,2022/1/27 16:42,2022,1,27,3,16,42,37,"@dussica.paris Montmartre
#LameDeStyleTiffany #Lampe #StyleTiffany 
#TiffanyStyle #Lamp #Suspension 
#ArtDeco�?https://t.co/4WeSrAoYdg",7.57E+17,Dussica Paris,Dussica_Paris,8,82,,48.88471,2.33972
61,1.49E+18,2022/1/26 23:58,2022,1,26,2,23,58,58,"Mosaic floor, Opéra Comique (Salle Favart, built 1840 by Théodore Charpentier), Paris. @ Opéra Comique - Page offic�?https://t.co/KWZhgPN6ll",15741261,Anne-Elisabeth Moutet,moutet,17086,177702,,48.870951,2.337853
120,1.49E+18,2022/1/27 17:03,2022,1,27,3,17,3,19,"Hat gerade ein Foto gepostet @ Paris, France https://t.co/NEuNMThhFs",1.42E+18,byAshrafB Photography,byashrafb,8,28,,48.849445,2.3375
76,1.49E+18,2022/1/27 13:14,2022,1,27,3,13,14,3,Plaisir d鈥檃voir re莽u au S茅nat les d茅l茅gu茅s de classes du coll猫ge Clos St Vincent �?Noisy le Grand �?Palais du Luxem�?https://t.co/mklq9PZvB8,131550749,Gilbert ROGER,GilbertROGER_93,2804,6490,,48.848333,2.337222
134,1.49E+18,2022/1/27 19:00,2022,1,27,3,19,0,11,Bienvenue au Mus茅e du Louvre 馃柤锔忊潳锔忦煄煐岋笍馃嚝馃嚪馃嚜馃嚭 #louvre #france #paris #arte #pintura #museu #moderno #historico #viver�?https://t.co/UduCkJCxT1,59260923,Douglas Sena,DouglasBSSena,39,1587,,48.861762,2.337079
142,1.49E+18,2022/1/27 19:27,2022,1,27,3,19,27,18,"Un matin �?Paris 鉁▇
~
~
~
~
~
#paris #louvre #pyramidedulouvre #parisienne #photographer #photography #instagood�?https://t.co/X4FNvjuCQG",593998339,Capucine�?YouthBurzek,17245,454064,,,48.861086,2.335753
53,1.49E+18,2022/1/26 21:09,2022,1,26,2,21,9,47,#louvremuseum #pyramidlouvre #parisfrance #cristalpyramide #parisstyle #lugaresconencanto #culture #intagramphoto e�?https://t.co/6lmmkSSOPJ,72581885,Victor Casanova,v_casanova86,102,6092,,48.861089,2.33575
50,1.49E+18,2022/1/26 20:56,2022,1,26,2,20,56,37,"Reposted �?@premierhairandmakeup 
.
❤️ Hair by @sammcknight1 for @alexandrevauthier Spring Haute Couture show in Pa�?https://t.co/tA2xLOYqbV",29292567,Joanne O'Neill Hair,oneilljoanne,426,5128,,48.885588,2.335537
55,1.49E+18,2022/1/26 21:14,2022,1,26,2,21,14,1,Olsun..! Olsun mu? @ Paris https://t.co/tL95pY88MW,73427877,Ilhan Uckan,ilhanuckan,2106,11955,,48.885588,2.335537
114,1.49E+18,2022/1/27 16:34,2022,1,27,3,16,34,7,"Une vue de la Seine immortalis茅e ce matin pe'da't mon jogging....

I鉂わ笍Paris �?Paris https://t.co/MciXuYmyLj",4187493119,Manu A,manuparis17,1153,5061,,48.885588,2.335537
131,1.49E+18,2022/1/27 18:54,2022,1,27,3,18,54,17,Vient de publier une photo �?Paris https://t.co/1i0pCIXyUr,1322218022,Maram Al Masri,maramelmasri,1034,3145,,48.885588,2.335537
39,1.49E+18,2022/1/26 19:45,2022,1,26,2,19,45,43,Vient de publier une photo à Saint Sulpice https://t.co/1YJE2QP4WC,148721474,Laurent Grzybowski,lgrzybowski,4744,3390,,48.85042,2.33335
116,1.49E+18,2022/1/27 16:50,2022,1,27,3,16,50,22,Un des meilleurs restaurant cor茅en : le S茅oul Op茅ra m茅tro Pyramides.  #restaurant #restaurantparis #koreanfood�?https://t.co/emzKW1YDUI,18012008,MaitreNem,maitrenem,101,2454,,48.8676,2.33309
10,1.49E+18,2022/1/26 16:52,2022,1,26,2,16,52,8,"Thierry Mugler, Couturissime @ Musée des Arts décoratifs https://t.co/shOwFHdFss",23359000,Nick Februar,Nick_Februar,259,7873,,48.86313,2.332942
34,1.49E+18,2022/1/26 19:37,2022,1,26,2,19,37,18,"Thierry Mugler, Couturissime @ Musée des Arts décoratifs https://t.co/npm7dMkpLi",23359000,Nick Februar,Nick_Februar,259,7876,,48.86313,2.332942
46,1.49E+18,2022/1/26 20:09,2022,1,26,2,20,9,11,"Thierry Mugler, Couturissime @ Musée des Arts décoratifs https://t.co/yjMFoW23cX",23359000,Nick Februar,Nick_Februar,259,7877,,48.86313,2.332942
48,1.49E+18,2022/1/26 20:48,2022,1,26,2,20,48,16,"Thierry Mugler, Couturissime @ Musée des Arts décoratifs https://t.co/i0KkXD4Bze",23359000,Nick Februar,Nick_Februar,259,7878,,48.86313,2.332942
83,1.49E+18,2022/1/27 13:45,2022,1,27,3,13,45,37,Thierry Mugler : Couturissime @ Mus茅e des Arts d茅coratifs https://t.co/hkFU8U8o1R,23359000,Nick Februar,Nick_Februar,259,7882,,48.86313,2.332942
98,1.49E+18,2022/1/27 14:36,2022,1,27,3,14,36,22,"Thierry Mugler, Couturissime @ Mus茅e des Arts d茅coratifs https://t.co/nHw508XnOS",23359000,Nick Februar,Nick_Februar,259,7883,,48.86313,2.332942
117,1.49E+18,2022/1/27 16:51,2022,1,27,3,16,51,40,"Thierry Mugler, Couturissime @ Mus茅e des Arts d茅coratifs https://t.co/NquBzhbDw3",23359000,Nick Februar,Nick_Februar,259,7884,,48.86313,2.332942
130,1.49E+18,2022/1/27 18:52,2022,1,27,3,18,52,21,"Thierry Mugler, Couturissime @ Mus茅e des Arts d茅coratifs https://t.co/Zu0tWfHK28",23359000,Nick Februar,Nick_Februar,259,7886,,48.86313,2.332942
140,1.49E+18,2022/1/27 19:25,2022,1,27,3,19,25,15,"i was really sadden to learn Thierry Mugler passed away.

i feel lucky i got to witness some of his greatest pieces�?https://t.co/zdgT2w9Uoh",223888747,NAmwe,baemwe,979,11894,,48.86313,2.332942
32,1.49E+18,2022/1/26 19:32,2022,1,26,2,19,32,31,Just posted a photo @ Beyoga Paris https://t.co/xGK6kRNxBk,3351969016,beyogaparisofficial,Beyoga_Paris,321,2562,,48.83982,2.3327
33,1.49E+18,2022/1/26 19:35,2022,1,26,2,19,35,4,Just posted a photo @ Beyoga Paris https://t.co/nWrsIAZ1Vd,3351969016,beyogaparisofficial,Beyoga_Paris,321,2563,,48.83982,2.3327
35,1.49E+18,2022/1/26 19:38,2022,1,26,2,19,38,5,Just posted a photo @ Beyoga Paris https://t.co/8RhFJqpI39,3351969016,beyogaparisofficial,Beyoga_Paris,321,2564,,48.83982,2.3327
37,1.49E+18,2022/1/26 19:40,2022,1,26,2,19,40,52,Just posted a photo @ Beyoga Paris https://t.co/ziOkbJRhSc,3351969016,beyogaparisofficial,Beyoga_Paris,321,2565,,48.83982,2.3327
38,1.49E+18,2022/1/26 19:44,2022,1,26,2,19,44,9,Just posted a photo @ Beyoga Paris https://t.co/Vn94ROcxDU,3351969016,beyogaparisofficial,Beyoga_Paris,321,2566,,48.83982,2.3327
125,1.49E+18,2022/1/27 18:31,2022,1,27,3,18,31,54,Just posted a photo @ Beyoga Paris https://t.co/VAEOIQHvo7,3351969016,beyogaparisofficial,Beyoga_Paris,321,2574,,48.83982,2.3327
113,1.49E+18,2022/1/27 16:32,2022,1,27,3,16,32,21,"I'm at Caf�?de Flore in Paris, 脦le-de-France https://t.co/im4Ye8omo7 https://t.co/RKqyiC3LIR",362249179,Reem AlShuwaier,alshuwaierr,135,688,,48.853997,2.332646
5,1.49E+18,2022/1/26 15:10,2022,1,26,2,15,10,53,#MoulinRouge #Paris #AM #❤️ @ Le Moulin Rouge (Officiel) https://t.co/0weqaM5y43,139199453,AmirMafia,AmirMafiaAM,715,156,,48.88402,2.33262
51,1.49E+18,2022/1/26 20:56,2022,1,26,2,20,56,42,"I'm at Coco in Paris, Île-de-France https://t.co/NadJZ7J5al",362249179,Reem AlShuwaier,alshuwaierr,135,686,,48.872102,2.332348
147,1.49E+18,2022/1/27 19:45,2022,1,27,3,19,45,24,Vient de publier une photo �?Galerie MOLIN CORVO https://t.co/qiJZxx5OXq,346747691,galerie Molin Corvo,molincorvo,383,1634,,48.856598,2.331899
92,1.49E+18,2022/1/27 14:12,2022,1,27,3,14,12,5,Az 枚nce bir foto臒raf payla艧t�?@ Casanova Paris https://t.co/lxalzOQ6vp,2759696818,GURMEX,gurmexcom,1164,719,,48.86795,2.33148
7,1.49E+18,2022/1/26 16:38,2022,1,26,2,16,38,29,Публікує світлину (Place Vendôme): https://t.co/jsT6BLKbJH,2284872690,INTERMODELS  MA,SvetLikhtina,146,3150,,48.867333,2.32942
101,1.49E+18,2022/1/27 16:03,2022,1,27,3,16,3,5,Just posted a photo @ Printemps Homme https://t.co/JQJXEC0jip,190333186,dan b.,friendsdan,99,2994,,48.874186,2.328594
96,1.49E+18,2022/1/27 14:27,2022,1,27,3,14,27,30,Vient de publier une photo �?Avenue de Saint-Ouen https://t.co/9FZ6nMdQQN,100155350,Christophe LEAUTEY,chrisleautey,357,2142,,48.893594,2.327637
65,1.49E+18,2022/1/27 12:26,2022,1,27,3,12,26,42,Acabou de publicar uma foto em Mus茅e d'Orsay https://t.co/tRAQ9f1bR4,97780708,Michel M. Carvalho,Michel_MesqCarv,43,4382,,48.859899,2.326572
123,1.49E+18,2022/1/27 17:16,2022,1,27,3,17,16,54,"@lestanins
2022-01-27 �?Les Tanins https://t.co/CPQxYCGlQA",1.43E+18,photo.svkru,photosvkru,6,3099,,48.88046,2.32547
124,1.49E+18,2022/1/27 17:16,2022,1,27,3,17,16,54,"@lestanins
2022-01-27 �?Les Tanins https://t.co/CPQxYCGlQA",1.43E+18,photo.svkru,photosvkru,6,3099,,48.88046,2.32547
82,1.49E+18,2022/1/27 13:45,2022,1,27,3,13,45,31,"I'm at Le Bon March�?in Paris, 脦le-de-France https://t.co/i3dltTLPLI",362249179,Reem AlShuwaier,alshuwaierr,135,687,,48.851091,2.324381
19,1.49E+18,2022/1/26 17:59,2022,1,26,2,17,59,18,Just posted a photo @ Place de la Concorde https://t.co/RPFfzWLMtM,572561802,Sarah 🦋,SarahJBrn,1450,18333,,48.865505,2.321092
148,1.49E+18,2022/1/27 19:46,2022,1,27,3,19,46,24,Vient de publier une photo �?Perception https://t.co/pGeWeP1Yjg,193665435,Adrien Food in Paris,Adrien7575_fr,1355,6585,,48.88942,2.32007
128,1.49E+18,2022/1/27 18:41,2022,1,27,3,18,41,29,"Suggestion! Poisson frit thon atti茅k�?Garba) https://t.co/EyRMU4Txxo 0618941161
 GPS 9 rue Berz茅lius 75017 �?Bisso�?https://t.co/6onIhHuEoL",184806281,Bisso Na Bisso,lebissonabisso,429,6804,,48.89251,2.31827
119,1.49E+18,2022/1/27 17:02,2022,1,27,3,17,2,23,Vient de publier une photo �?Quartier des Batignolles https://t.co/Pu5xKEDdLb,71229311,Envie d'ap茅ro,nathalielielie,1615,4350,,48.8875,2.316667
36,1.49E+18,2022/1/26 19:38,2022,1,26,2,19,38,40,Normandy Four meeting at advisors level ended in Paris after 8.5 hours https://t.co/VkFDw6J9Uq  #Ukraine,2388075212,Liveuamap,Liveuamap,78435,61631,,48.86921,2.31566
127,1.49E+18,2022/1/27 18:40,2022,1,27,3,18,40,57,"Prince de sang-m锚l�?�?Champ 脡lys茅es, Paris. France https://t.co/xCilDXyPXW",4766497755,Kasim,kasimmezbout,567,16491,,48.867961,2.313255
56,1.49E+18,2022/1/26 21:14,2022,1,26,2,21,14,5,"#LesPromesses (@ 7 Batignolles in Paris, Île-de-France) https://t.co/C413UOOiRK https://t.co/bLe5Y6NFAO",63472831,Anthony Bateman 😏,Anthony_Bateman,2629,186254,,48.892517,2.310156
41,1.49E+18,2022/1/26 19:54,2022,1,26,2,19,54,39,Vient de publier une photo à Paris https://t.co/9RDUzA5w3g,7.04E+17,WENHUA DUVERGÉ,Wenhua_Duverge,10,1828,,48.869688,2.308187
139,1.49E+18,2022/1/27 19:23,2022,1,27,3,19,23,14,"Just posted a photo @ Paris, France https://t.co/7hwpvW6Pwg",1270599878,Ger Ger,the_gerger,2932,3486,,48.859075,2.30746
85,1.49E+18,2022/1/27 13:57,2022,1,27,3,13,57,3,Favorite t-shirt/ME 馃尪�?@ Luxembourg https://t.co/N8EDuheTFt,107883588,barrak patt,Hateraid94,278,16815,,48.879697,2.30398
59,1.49E+18,2022/1/26 23:53,2022,1,26,2,23,53,7,"CHANEL HC S²22, January 2022 #CHANELHauteCouture #CHANEL #chanelshow à Grand Palais Éphémère https://t.co/yFTWvH6SSE",74527301,Karl Hab,KarlHab,2302,24309,,48.852892,2.302808
16,1.49E+18,2022/1/26 17:07,2022,1,26,2,17,7,28,"Dior by night �?

.
.
.
.
#dior #hautecouture #fashion #dinner #gigi #merci #paris #parisbynight @ Gigi Restaurant P�?https://t.co/rXbc6vO9ua",319190637,"Dr. Gabriel Chiu - Plastic Surgery, Inc.",ChristineCBling,3689,4830,,48.865938,2.302686
146,1.49E+18,2022/1/27 19:44,2022,1,27,3,19,44,15,Just posted a photo @ Louis Vuitton https://t.co/qvfXdLTu3i,9.38E+17,Carlo and Seb Youtube Channel,CarloandSeb,34,2645,,48.871522,2.300512
86,1.49E+18,2022/1/27 13:57,2022,1,27,3,13,57,23,Beautiful dialogue between dresses by YSL and paintings by #pierrebonnard which inspired the dresses of Yves Saint�?https://t.co/RYSfuAoZFi,121042325,judith benhamou-huet 灞呰拏涓?judithbenhamou,5346,12379,,,48.86442539,2.29787
104,1.49E+18,2022/1/27 16:24,2022,1,27,3,16,24,13,"Most tett k枚zz�?egy f茅nyk茅pet: @Palais Galliera, mus茅e de la Mode de la Ville de Paris https://t.co/G8sNbyvUgj",339730720,Gabor Szakacs,gaborszakacs,108,3434,,48.865915,2.296679
100,1.49E+18,2022/1/27 15:58,2022,1,27,3,15,58,8,Vient de publier une photo �?Arc de Triomphe https://t.co/3EQ3oGzSYi,9.12E+17,Elsa,ElsaMargueritat,11622,292,,48.8738,2.295
22,1.49E+18,2022/1/26 19:10,2022,1,26,2,19,10,45,Vient de publier une photo à Tour Eiffel https://t.co/PB5dejU1C4,2861038929,arty & gastronomy,arty_gastronomy,69,1273,,48.858386,2.294554
29,1.49E+18,2022/1/26 19:12,2022,1,26,2,19,12,46,Acaba de publicar una foto en Tour Eiffel https://t.co/IBiaxPs8bU,622404601,Luis Barbosa V,luisenciclismo,7331,28105,,48.858386,2.294554
54,1.49E+18,2022/1/26 21:12,2022,1,26,2,21,12,50,Foto appena pubblicata @ Tour Eiffel https://t.co/phsJNypO0l,168493071,Angelo Di Guardo,angeldiguardo,1004,7437,,48.858386,2.294554
75,1.49E+18,2022/1/27 13:11,2022,1,27,3,13,11,58,"Lobo hombre en Par铆s �?#danielainparis #gu猫sp贸inparis en Tour Eiffel Paris France, https://t.co/a2TzA8UxbN",622201886,Pd. Te quiero鉂も�?MissAugusto18,1419,20616,,,48.85826922,2.294517
138,1.49E+18,2022/1/27 19:19,2022,1,27,3,19,19,52,Vient de publier une photo �?Paris https://t.co/2QoOQXt2Qu,7.04E+17,WENHUA DUVERG�?Wenhua_Duverge,10,1829,,,48.84219591,2.293733
26,1.49E+18,2022/1/26 19:11,2022,1,26,2,19,11,30,Vient de publier une photo à Porte de Versailles https://t.co/5QZYsH9yNH,2861038929,arty & gastronomy,arty_gastronomy,69,1278,,48.832,2.288
18,1.49E+18,2022/1/26 17:55,2022,1,26,2,17,55,58,Vient de publier une photo à Place Victor-Hugo https://t.co/TbQWbok6Bu,8.76E+17,Atelier George,AtelierGeorge,81,218,,48.8697,2.28533
24,1.49E+18,2022/1/26 19:11,2022,1,26,2,19,11,4,Vient de publier une photo à Fondation Louis Vuitton https://t.co/4yt0ua9NU9,2861038929,arty & gastronomy,arty_gastronomy,69,1275,,48.876558,2.264572
11,1.49E+18,2022/1/26 16:54,2022,1,26,2,16,54,20,Vient de publier une photo à Courbevoie - la Défense https://t.co/05PCQV2X53,52746618,Olivier Merzoug,oliviermerzoug,268,4022,,48.893439,2.25289
91,1.49E+18,2022/1/27 14:06,2022,1,27,3,14,6,9,Ma tite boule favorite �?�?Courbevoie - la D茅fense https://t.co/NAGthbhdA4,2974996576,Lady Julie de la Myrtille 馃珢馃尶�?louhdetech,1253,15465,,,48.89343879,2.25289
109,1.49E+18,2022/1/27 16:29,2022,1,27,3,16,29,7,Vient de publier une photo �?Courbevoie - la D茅fense https://t.co/Ewr2LpMZVA,52746618,Olivier Merzoug,oliviermerzoug,267,4023,,48.893439,2.25289
63,1.49E+18,2022/1/27 12:19,2022,1,27,3,12,19,8,"Vient de publier une photo �?La D茅fense, France https://t.co/2q0pKRx4At",1.44E+18,R茅mi,remthse,32,45,,48.89086,2.23943
